entire,campus,number,class_,seperate,major,class_name,prof,time,place
ACADEMIC ENGLISH,서울,IFLS011,G2,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 체육특기자반,Declan Flynn,1(2),월(1-2) 국제관 307A호
ACADEMIC ENGLISH,서울,IFLS011,L1,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) Foundation/International Student only,David M. Duke,1(2),화(3) 국제관 413호 목(3) 국제관 413호
ACADEMIC ENGLISH,서울,IFLS011,L2,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) Foundation/International Student only,Mark Robert Eade,1(2),월(5) 국제관 212호 수(5) 국제관 212호
ACADEMIC ENGLISH,서울,IFLS011,L3,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 초급,Cheryl Faye Magnant,1(2),월(1) 국제관 407A호 수(1) 국제관 407A호
ACADEMIC ENGLISH,서울,IFLS011,L4,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 초급,Cheryl Faye Magnant,1(2),월(2) 국제관 407A호 수(2) 국제관 407A호
ACADEMIC ENGLISH,서울,IFLS011,L5,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 초급,Anthony Death,1(2),월(3) 국제관 436호 수(3) 국제관 436호
ACADEMIC ENGLISH,서울,IFLS011,L6,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 초급,Declan Flynn,1(2),월(4) 국제관 307A호 수(4) 국제관 307A호
ACADEMIC ENGLISH,서울,IFLS011,L7,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 초급,David M. Docherty,1(2),월(5) 국제관 511호 수(5) 국제관 511호
ACADEMIC ENGLISH,서울,IFLS011,L8,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 초급,Benjamin Fallon,1(2),월(6) 국제관 332호 수(6) 국제관 332호
ACADEMIC ENGLISH,서울,IFLS011,L9,교양,국제어학원,ACADEMIC ENGLISHⅠ(영강) 초급,Paulette M. Hawkins,1(2),월(7) 국제관 412호 수(7) 국제관 412호
문과대학,서울,EMLA215,0,전공선택,EML융합전공,기초포르투갈어,이찬종,3(3),화(1) 서관 402호 화(2) 서관 403호
문과대학,서울,EMLA217,0,전공필수,EML융합전공,라틴아메리카의경제,김순성,3(3),화(3-4) 교양관 201호 목(3-4) 교양관 201호
문과대학,서울,EMLA312,0,전공선택,EML융합전공,라틴아메리카인적자원관리,유다선,3(3),화(5) 서관 314A호 목(5) 서관 314B호
문과대학,서울,COLA200,2,전공선택,문과대학,"인문융합세미나 (문과대 1소속자만 수강가능,이중/복수/부전공수강불가,문과대 홈페이지공지 필수확인)",조재룡 손성준,3(3),금(6-8) 서관 224A호
문과대학,서울,SOCI365,0,전공선택,사회학과,노동사회학(영강),김승진,3(3),화(5) 목(5) 
문과대학,서울,SOCI375,0,전공선택,사회학과,건강과의료의사회학,김진영,3(3),월(5) 서관 401호 수(5) 서관 401호
문과대학,서울,SOCI379,0,전공선택,사회학과,일반사회교과교육론,유혜영,3(3),화(7-8) 서관 224B호 목(7-8) 서관 224B호
문과대학,서울,SOCI398,0,전공선택,사회학과,젠더와사회,임인숙,3(3),월(3-4) 서관 401호 수(3-4) 서관 401호
문과대학,서울,SOCI446,0,전공선택,사회학과,문화사회학(영강),이지훈,3(3),금(5-6) 교양관 209호
문과대학,서울,SOCI464,0,전공선택,사회학과,법과사회(영강),장안식,3(3),수(1) 서관 315호 금(1) 서관 315호
문과대학,서울,SOCI468,0,전공선택,사회학과,노년사회학,김수영,3(3),화(3-4) 교양관 311호 목(3-4) 교양관 311호
